"log_ell","log_sigma_f","log_sigma_n","source","chain","retained_draw"
-2.62431959414432,-3.03192027054581,-10.8618536713643,"spike",1,351
-1.90190375824178,-2.81848403434803,-11.1911767397654,"spike",1,352
-2.99368906350122,-3.00653358316376,-11.1609916034627,"spike",1,353
-2.99368906350122,-3.00653358316376,-11.1609916034627,"spike",1,354
-2.99368906350122,-3.00653358316376,-11.1609916034627,"spike",1,355
-2.99395080882027,-2.91091551791513,-10.3033329190885,"spike",1,356
-2.99395080882027,-2.91091551791513,-10.3033329190885,"spike",1,357
-2.04807700718575,-2.87648500300052,-11.187831610102,"spike",1,358
-2.04807700718575,-2.87648500300052,-11.187831610102,"spike",1,359
-2.38627085941706,-2.83565792705625,-10.2449068243523,"spike",1,360
-2.38627085941706,-2.83565792705625,-10.2449068243523,"spike",1,361
-2.4965774171279,-2.85214174166752,-11.1394036826527,"spike",1,362
-2.4965774171279,-2.85214174166752,-11.1394036826527,"spike",1,363
-2.4965774171279,-2.85214174166752,-11.1394036826527,"spike",1,364
-2.39828801469892,-2.88380410504804,-10.8605129334842,"spike",1,365
-2.39828801469892,-2.88380410504804,-10.8605129334842,"spike",1,366
-2.48211389977949,-2.99540125288437,-10.2633597254023,"spike",1,367
-2.98536066890628,-3.05348020820192,-10.5545922422936,"spike",1,368
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,369
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,370
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,371
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,372
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,373
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,374
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,375
-2.55171922757722,-2.9851418524925,-10.8859388810474,"spike",1,376
-2.79356200295376,-2.78798671886677,-10.3516946346726,"spike",1,377
-2.79356200295376,-2.78798671886677,-10.3516946346726,"spike",1,378
-2.79356200295376,-2.78798671886677,-10.3516946346726,"spike",1,379
-2.79356200295376,-2.78798671886677,-10.3516946346726,"spike",1,380
-2.79356200295376,-2.78798671886677,-10.3516946346726,"spike",1,381
-2.79356200295376,-2.78798671886677,-10.3516946346726,"spike",1,382
-2.2078654966751,-3.01330325782437,-10.4662425463322,"spike",1,383
-2.7207968635657,-3.11857017274752,-10.4099371457954,"spike",1,384
-2.88900292011063,-2.94885576710812,-10.287622340028,"spike",1,385
-2.88900292011063,-2.94885576710812,-10.287622340028,"spike",1,386
-2.73251530308988,-2.89592307174734,-10.5927617935109,"spike",1,387
-2.72614243814107,-2.88281940162788,-10.5501717587453,"spike",1,388
-2.57017681207889,-2.75208339954795,-11.1673051929656,"spike",1,389
-3.11269999007333,-2.6166812496756,-10.8390569546348,"spike",1,390
-3.11837324374695,-2.66674745313853,-10.6377436389082,"spike",1,391
-1.22307032404886,-2.78275813811095,-10.4969692265196,"spike",1,392
-2.40343101288998,-2.89590599331575,-10.3021256328668,"spike",1,393
-3.23084125688698,-2.88562201147275,-10.4987765628052,"spike",1,394
-2.49511246206034,-2.69947127009967,-10.6705449042728,"spike",1,395
-2.49511246206034,-2.69947127009967,-10.6705449042728,"spike",1,396
-2.68370935394311,-2.83781374109366,-10.0146510427536,"spike",1,397
-2.35307068275064,-2.97190466329972,-10.8724550430416,"spike",1,398
