"eta","replication","source","seed","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD","RMSE_reference","delta_RMSE"
0.001,3,"mixture",20461387,"Broad plus sharp source","RBF",0.0631036542669064,0.0229278004757338,0.892325996430696,0.104869520642661,0.086437760261749,0.0206412896497314,2.67925964876015,0.0480327663639779,0.0150708879029285
0.001,3,"mixture",20461387,"Broad plus sharp source","Matern 0.5",0.0480327663639779,0.0184301984546426,0.984533016061868,0.284426481554757,0.164439693634741,0.023438052321594,-1.43763817414169,0.0480327663639779,0
0.001,3,"mixture",20461387,"Broad plus sharp source","Matern 1.5",0.055761970721972,0.0187079081544903,0.939321832242713,0.154095420011173,0.124971371207615,0.0194325480595426,-0.838095027287048,0.0480327663639779,0.0077292043579941
0.001,3,"mixture",20461387,"Broad plus sharp source","Matern 2.5",0.058729025529191,0.0199197215412067,0.926829268292683,0.130564600928461,0.10913258477097,0.0195515658920322,0.0271645513469695,0.0480327663639779,0.0106962591652131
0.001,3,"ring",20461387,"Ring-shaped source","RBF",0.161240697422427,0.102825179586748,0.695419393218322,0.283392868560306,0.167728658536585,0.0888546107636368,2.3334364940779,0.159253199514651,0.001987497907776
0.001,3,"ring",20461387,"Ring-shaped source","Matern 0.5",0.159253199514651,0.0969006751061785,0.894110648423557,0.566979311530522,0.0635347263533611,0.0836499943277437,-0.354745588202278,0.159253199514651,0
0.001,3,"ring",20461387,"Ring-shaped source","Matern 1.5",0.158771930230641,0.0989690708378923,0.779298036882808,0.384839931362606,0.114248587150506,0.0843606434971601,0.246373816720717,0.159253199514651,-0.000481269284009989
0.001,3,"ring",20461387,"Ring-shaped source","Matern 2.5",0.159538070174263,0.100153361436215,0.743010113027959,0.34278893591482,0.136631097560976,0.0857140163563238,0.740694417778829,0.159253199514651,0.000284870659611997
0.001,3,"sine",20461387,"Sine-cosine source","RBF",0.044728933966087,0.032991392012299,0.25639500297442,0.0308583861248804,0.599391359309935,0.0294942878279331,19.7222464501625,0.0576312298296969,-0.0129022958636099
0.001,3,"sine",20461387,"Sine-cosine source","Matern 0.5",0.0576312298296969,0.0422366797829223,1,0.449155060075945,0.161837076145152,0.036427426545916,-1.16033223475175,0.0576312298296969,0
0.001,3,"sine",20461387,"Sine-cosine source","Matern 1.5",0.0455041627400592,0.0353632593124067,0.798334324806663,0.107596150338214,0.188475237953599,0.0258524128372603,-0.946427528814427,0.0576312298296969,-0.0121270670896377
0.001,3,"sine",20461387,"Sine-cosine source","Matern 2.5",0.0443825671746511,0.0340671268599479,0.468173706127305,0.0605696698672783,0.454314024390244,0.0275820053212663,3.10172176501796,0.0576312298296969,-0.0132486626550458
0.001,3,"spike",20461387,"Hidden narrow spike","RBF",0.0440014511756665,0.0104634218033265,0.930993456276026,0.0885447500654328,0.13501003866746,0.0127616937848061,-0.477574839012716,0.045428075734552,-0.0014266245588855
0.001,3,"spike",20461387,"Hidden narrow spike","Matern 0.5",0.045428075734552,0.0100406516215209,0.969660916121356,0.155681756731279,0.155172888161808,0.0152207096014454,-1.63509022763012,0.045428075734552,0
0.001,3,"spike",20461387,"Hidden narrow spike","Matern 1.5",0.0442757138899453,0.0103418602447126,0.955978584176086,0.118045031372899,0.140594512195122,0.0137767825299754,-1.40571094958588,0.045428075734552,-0.0011523618446067
0.001,3,"spike",20461387,"Hidden narrow spike","Matern 2.5",0.0441132581453909,0.0103759612349335,0.94824509220702,0.106932294138607,0.136274167162403,0.0133826484959565,-1.19777327344334,0.045428075734552,-0.0013148175891611
0.001,4,"dipole",20561387,"Positive-negative dipole","RBF",0.0348266562276554,0.0167715280572228,0.960142772159429,0.191136282439967,0.122004387269482,0.0187712662101734,-1.43828133962652,0.0405642771270602,-0.0057376208994048
0.001,4,"dipole",20561387,"Positive-negative dipole","Matern 0.5",0.0405642771270602,0.0165950217780652,0.990481856038073,0.474539093456051,0.177006618084474,0.0330330689107849,-1.13622533593989,0.0405642771270602,0
0.001,4,"dipole",20561387,"Positive-negative dipole","Matern 1.5",0.0330403740028616,0.0139478256435993,0.980963712076145,0.300318537181143,0.167665452111838,0.0226843259072712,-1.54122197529084,0.0405642771270602,-0.0075239031241986
0.001,4,"dipole",20561387,"Positive-negative dipole","Matern 2.5",0.032945323462525,0.0143399836065627,0.979773944080904,0.255474861503463,0.155024167162403,0.0206005084016827,-1.62749147064436,0.0405642771270602,-0.0076189536645352
0.001,4,"edge",20561387,"Moving-edge source","RBF",0.190567851638985,0.126764979881699,0.708506841165973,0.266028942190313,0.22223490481856,0.104510919769615,4.81313881306724,0.169145443244243,0.021422408394742
0.001,4,"edge",20561387,"Moving-edge source","Matern 0.5",0.169145443244243,0.100215937195493,0.895300416418798,0.575514915687406,0.0937994497323022,0.0841768331375548,-0.352452833539422,0.169145443244243,0
0.001,4,"edge",20561387,"Moving-edge source","Matern 1.5",0.178956745320121,0.111451655057505,0.804878048780488,0.338315876974802,0.0938143218322427,0.0905616001863169,0.960776675107712,0.169145443244243,0.00981130207587802
0.001,4,"edge",20561387,"Moving-edge source","Matern 2.5",0.18300309886619,0.116530105185565,0.778703152885187,0.299229472092569,0.139174226650803,0.0950869475378065,2.08242552623203,0.169145443244243,0.013857655621947
0.001,4,"mixture",20561387,"Broad plus sharp source","RBF",0.0632793546972982,0.0230318429698153,0.896490184414039,0.106638198118682,0.0868095627602617,0.0207908361391982,2.48756644200771,0.0484567308911692,0.014822623806129
0.001,4,"mixture",20561387,"Broad plus sharp source","Matern 0.5",0.0484567308911692,0.0182439365059123,0.984533016061868,0.286597325615592,0.163844809637121,0.0236139807060818,-1.43409088574284,0.0484567308911692,0
0.001,4,"mixture",20561387,"Broad plus sharp source","Matern 1.5",0.05600330075358,0.0189897768221206,0.941106484235574,0.156592813571488,0.124227766210589,0.0197252274123117,-0.878301372899045,0.0484567308911692,0.00754656986241081
0.001,4,"mixture",20561387,"Broad plus sharp source","Matern 2.5",0.0589487682840413,0.0201232194411973,0.926829268292683,0.132795317068472,0.109206945270672,0.0198149124235279,-0.057668832674809,0.0484567308911692,0.0104920373928721
0.001,4,"ring",20561387,"Ring-shaped source","RBF",0.161388736941036,0.102564029478641,0.694229625223082,0.282990080536603,0.168249182034503,0.088949323927276,2.35380226436358,0.159448054392559,0.00194068254847701
0.001,4,"ring",20561387,"Ring-shaped source","Matern 0.5",0.159448054392559,0.0971965685187373,0.893515764425937,0.56528481051226,0.0633116448542534,0.0837443027047055,-0.35173913808985,0.159448054392559,0
0.001,4,"ring",20561387,"Ring-shaped source","Matern 1.5",0.158966285493793,0.0988647658443664,0.777513384889946,0.383847791049444,0.114174226650803,0.0844867959795246,0.257843160428262,0.159448054392559,-0.000481768898766
0.001,4,"ring",20561387,"Ring-shaped source","Matern 2.5",0.15972223843274,0.0999807626996173,0.741225461035098,0.342022009433891,0.136631097560976,0.0858366741373734,0.755848629439251,0.159448054392559,0.000274184040181008
0.001,4,"sine",20561387,"Sine-cosine source","RBF",0.044512074464696,0.0324290273300464,0.262938726948245,0.0293688187104992,0.591806588340274,0.0291883192115222,23.3616593193815,0.0575923885112867,-0.0130803140465907
0.001,4,"sine",20561387,"Sine-cosine source","Matern 0.5",0.0575923885112867,0.0422020401760951,1,0.448581426534465,0.162060157644259,0.0364241540884534,-1.16055093825121,0.0575923885112867,0
0.001,4,"sine",20561387,"Sine-cosine source","Matern 1.5",0.0446350809372804,0.034741671008919,0.791195716835217,0.106741746777803,0.18646750446163,0.0255158796716306,-0.901360319891074,0.0575923885112867,-0.0129573075740063
0.001,4,"sine",20561387,"Sine-cosine source","Matern 2.5",0.043472719643363,0.0330570991226555,0.440214158239143,0.0563031234974034,0.467921995835812,0.0273214124680141,5.83881384913653,0.0575923885112867,-0.0141196688679237
0.001,4,"spike",20561387,"Hidden narrow spike","RBF",0.0440326771499646,0.0103958000861696,0.930398572278406,0.0873195548329567,0.134117712671029,0.0127220774930431,-0.406900069557522,0.045437110083852,-0.0014044329338874
0.001,4,"spike",20561387,"Hidden narrow spike","Matern 0.5",0.045437110083852,0.0100064361157207,0.969660916121356,0.155261821639329,0.155544690660321,0.0151995285686809,-1.63376411978154,0.045437110083852,0
0.001,4,"spike",20561387,"Hidden narrow spike","Matern 1.5",0.0442880636246273,0.0103014370120439,0.955978584176086,0.117362715865805,0.140520151695419,0.0137465521031353,-1.39581940177684,0.045437110083852,-0.0011490464592247
0.001,4,"spike",20561387,"Hidden narrow spike","Matern 2.5",0.0441284063718887,0.0103301091961077,0.947650208209399,0.106114893836427,0.136571609161214,0.0133492593570598,-1.17856633730859,0.045437110083852,-0.0013087037119633
