"source","hyper_method","kernel","label","nominal","empirical","mean_width","method","replication","eta","seed"
"edge","multistart_eb","matern05","Matern 0.5",0.7,0.828673408685306,0.304785191625026,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.8,0.848304580606782,0.376867383317936,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.9,0.875074360499703,0.48370404983805,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.95,0.899464604402142,0.576368925067103,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.975,0.914336704342653,0.659131948822672,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern05","Matern 0.5",0.99,0.930398572278406,0.757477167209898,"Matern 0.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.5,0.515169541939322,0.116760501505946,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.6,0.565139797739441,0.145692528732214,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.7,0.633551457465794,0.179416339980885,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.8,0.740035693039857,0.221848595112406,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.9,0.793575252825699,0.284739589194493,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.95,0.809637120761452,0.339288147376533,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.975,0.825698988697204,0.388007833293046,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern15","Matern 1.5",0.99,0.840571088637716,0.44590021003084,"Matern 1.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.5,0.46103509815586,0.103398680317715,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.6,0.51219512195122,0.129019788445278,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.7,0.562165377751338,0.158884319116369,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.8,0.662105889351576,0.196460718043367,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.9,0.759666864961333,0.252154601746204,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.95,0.787626412849494,0.30046074000795,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.975,0.803093396787626,0.343605049635675,"Matern 2.5",1,0.001,20261387
"edge","multistart_eb","matern25","Matern 2.5",0.99,0.813206424747174,0.394872347034523,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.5,0.123140987507436,0.0106214458302807,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.6,0.1540749553837,0.0132533286672036,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.7,0.185603807257585,0.0163211095498519,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.8,0.217132659131469,0.0201810784050999,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.9,0.248661511005354,0.0259021337126722,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.95,0.273646638905413,0.0308642959882509,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.975,0.293277810826889,0.0352962185832748,"RBF",1,0.001,20261387
"sine","multistart_eb","rbf","RBF",0.99,0.323616894705532,0.0405625606730727,"RBF",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.5,0.860797144556811,0.155678276093904,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.6,0.913146936347412,0.194253719539203,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.7,0.964901844140393,0.239218110157566,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.8,0.998810232004759,0.295793580838594,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.9,1,0.37964695089313,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.95,1,0.452377244028738,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.975,1,0.517335826918457,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern05","Matern 0.5",0.99,1,0.594524476275703,"Matern 0.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.5,0.33313503866746,0.0383251617618455,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.6,0.439024390243902,0.0478217347402372,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.7,0.553837001784652,0.0588911503787564,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.8,0.659131469363474,0.0728190028704879,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.9,0.75669244497323,0.0934621783491108,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.95,0.80785246876859,0.111367054477925,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.975,0.851873884592504,0.127358676812996,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern15","Matern 1.5",0.99,0.882212968471148,0.146361119202649,"Matern 1.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.5,0.186793575252826,0.021146394138027,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.6,0.218917311124331,0.0263862487382372,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.7,0.270077334919691,0.0324939392269125,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.8,0.334324806662701,0.0401788085072209,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.9,0.440809042236764,0.0515689424261336,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.95,0.530636525877454,0.0614481849448014,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.975,0.591314693634741,0.0702717654140836,"Matern 2.5",1,0.001,20261387
"sine","multistart_eb","matern25","Matern 2.5",0.99,0.651397977394408,0.0807566040392602,"Matern 2.5",1,0.001,20261387
"spike","multistart_eb","rbf","RBF",0.5,0.875669244497323,0.030551318316741,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.6,0.882212968471148,0.0381216144523166,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.7,0.892920880428317,0.0469457191711488,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.8,0.906008328375967,0.0580484578259175,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.9,0.920880428316478,0.0745043890241941,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.95,0.932183224271267,0.0887774552002066,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.975,0.939916716240333,0.101525350366203,"RBF",2,0.001,20361387
"spike","multistart_eb","rbf","RBF",0.99,0.947055324211779,0.116673353389631,"RBF",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.5,0.920285544318858,0.0539514086111589,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.6,0.933372992266508,0.0673200016088009,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.7,0.941106484235574,0.0829027294759812,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.8,0.955978584176086,0.102509359332543,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.9,0.964901844140393,0.131569338314492,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.95,0.969660916121356,0.156774536251048,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.975,0.976799524092802,0.179286392986737,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern05","Matern 0.5",0.99,0.983938132064248,0.206036665832155,"Matern 0.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.5,0.888161808447353,0.0409007702428049,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.6,0.903628792385485,0.0510355519795885,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.7,0.917906008328376,0.0628488778715072,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.8,0.929803688280785,0.0777127393283716,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.9,0.946460440214158,0.0997432210933207,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.95,0.957168352171327,0.118851378531016,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.975,0.962522308149911,0.135917703651857,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern15","Matern 1.5",0.99,0.968471148126115,0.156197188316813,"Matern 1.5",2,0.001,20361387
"spike","multistart_eb","matern25","Matern 2.5",0.5,0.881618084473528,0.0370093592446036,"Matern 2.5",2,0.001,20361387
"spike","multistart_eb","matern25","Matern 2.5",0.6,0.895895300416419,0.0461798901645746,"Matern 2.5",2,0.001,20361387
"spike","multistart_eb","matern25","Matern 2.5",0.7,0.906603212373587,0.0568692639639472,"Matern 2.5",2,0.001,20361387
"spike","multistart_eb","matern25","Matern 2.5",0.8,0.924449732302201,0.0703189370423138,"Matern 2.5",2,0.001,20361387
"spike","multistart_eb","matern25","Matern 2.5",0.9,0.93634741225461,0.090253378597583,"Matern 2.5",2,0.001,20361387
"spike","multistart_eb","matern25","Matern 2.5",0.95,0.94824509220702,0.107543533744197,"Matern 2.5",2,0.001,20361387
