"replication","eta","seed","source","source_label","method","RMSE","MAE","Coverage95","Width95","CalibrationMAE","CRPS","NLPD"
12,0.001,21361387,"ring","Ring-shaped source","Tikhonov discrepancy",0.172685766012251,0.100662498348369,NA,NA,NA,NA,NA
12,0.001,21361387,"edge","Moving-edge source","Tikhonov discrepancy",0.275686623714027,0.163355473612639,NA,NA,NA,NA,NA
12,0.001,21361387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177527052629178,0.0882165625377632,NA,NA,NA,NA,NA
13,0.001,21461387,"spike","Hidden narrow spike","RBF",0.0439512547265705,0.0104331879340909,0.933967876264128,0.0907892401824809,0.135381841165973,0.0128384594684123,-0.597631268680536
13,0.001,21461387,"spike","Hidden narrow spike","Matern 0.5",0.0453975645480309,0.010028042631964,0.969660916121356,0.157936716903601,0.155470330160619,0.0153184356185653,-1.64162253179456
13,0.001,21461387,"spike","Hidden narrow spike","Matern 1.5",0.0442388473130363,0.0103465856086776,0.957168352171327,0.120398897187766,0.14111503569304,0.0138702257512103,-1.43854000836457
13,0.001,21461387,"spike","Hidden narrow spike","Matern 2.5",0.0440714766101726,0.0103769904439264,0.94883997620464,0.109292077660968,0.136794690660321,0.0134726512807714,-1.25078386779245
13,0.001,21461387,"mixture","Broad plus sharp source","RBF",0.0635040934609241,0.0240905530245485,0.88399762046401,0.103759313817756,0.0778863027959548,0.0215621856618033,2.67460216397633
13,0.001,21461387,"mixture","Broad plus sharp source","Matern 0.5",0.0488926709128979,0.0193960021450795,0.984533016061868,0.27516084383398,0.160675565139798,0.0233405010072887,-1.44260583776527
13,0.001,21461387,"mixture","Broad plus sharp source","Matern 1.5",0.0559435852204627,0.0206594783881702,0.939916716240333,0.150648736483133,0.115007064247472,0.0200721739479199,-0.807285767476966
13,0.001,21461387,"mixture","Broad plus sharp source","Matern 2.5",0.0589283787558501,0.0217721101324733,0.928613920285544,0.127968584139645,0.0994657198096371,0.0203254693849091,0.0657429414005325
13,0.001,21461387,"dipole","Positive-negative dipole","RBF",0.0346838410347625,0.0167271032765528,0.96192742415229,0.194533167931527,0.1225249107674,0.0188674122273035,-1.46817301957973
13,0.001,21461387,"dipole","Positive-negative dipole","Matern 0.5",0.0404267134314396,0.0164695033617822,0.991076740035693,0.476796598896767,0.177229699583581,0.0331212370028331,-1.13257417452959
13,0.001,21461387,"dipole","Positive-negative dipole","Matern 1.5",0.0328698904360494,0.0138769952452106,0.980963712076145,0.303215948412913,0.168111615110054,0.0227905618091164,-1.53637316526008
13,0.001,21461387,"dipole","Positive-negative dipole","Matern 2.5",0.0327800058007596,0.0142833694443459,0.979773944080904,0.258581644745078,0.156288295657347,0.0207106192203986,-1.62501002090685
13,0.001,21461387,"ring","Ring-shaped source","RBF",0.161217766072726,0.103103550502585,0.690065437239738,0.278157759962653,0.170851799524093,0.0890930115871205,2.49997302689644
13,0.001,21461387,"ring","Ring-shaped source","Matern 0.5",0.159109405276412,0.0975178522934111,0.893515764425937,0.562467597718477,0.0632372843545509,0.0835824424247313,-0.353517208166345
13,0.001,21461387,"ring","Ring-shaped source","Matern 1.5",0.158693923581637,0.0994169392563237,0.772754312908983,0.379697572417659,0.116851204640095,0.0844573570903453,0.279984891489596
13,0.001,21461387,"ring","Ring-shaped source","Matern 2.5",0.159489990354205,0.100553359693243,0.737656157049375,0.337544892043631,0.138341389054134,0.0858719769841298,0.803408953843962
13,0.001,21461387,"edge","Moving-edge source","RBF",0.187251836381242,0.122683088266745,0.728138013087448,0.27237719135895,0.201637046400952,0.101286194319962,4.28085102481901
13,0.001,21461387,"edge","Moving-edge source","Matern 0.5",0.167504901993898,0.0972243541690402,0.898274836406901,0.582107635657496,0.0958815437239738,0.0831525303558368,-0.367552954526154
13,0.001,21461387,"edge","Moving-edge source","Matern 1.5",0.176715976373122,0.107918228160606,0.810232004759072,0.343945826899439,0.0872705978584176,0.0885299478995643,0.836427866332152
13,0.001,21461387,"edge","Moving-edge source","Matern 2.5",0.180422967050087,0.112869754887655,0.788816180844735,0.304906164872628,0.125045731707317,0.092638291740405,1.85869811785362
13,0.001,21461387,"sine","Sine-cosine source","RBF",0.0470117342900689,0.0325205625279466,0.280190362879239,0.0282332126601874,0.576488325401547,0.0294760725631961,24.3444534724236
13,0.001,21461387,"sine","Sine-cosine source","Matern 0.5",0.0579938799881981,0.0416141213926555,1,0.449143664725079,0.16005242415229,0.0365197286009282,-1.15886411462208
13,0.001,21461387,"sine","Sine-cosine source","Matern 1.5",0.0452947914289501,0.0342076128142322,0.80725758477097,0.109267858821613,0.15099754610351,0.0251619222963074,-0.995096487730085
13,0.001,21461387,"sine","Sine-cosine source","Matern 2.5",0.0450219426779028,0.032749122985842,0.527662105889352,0.0602489924509243,0.4007001041047,0.026702422310456,2.85236978826286
13,0.001,21461387,"spike","Hidden narrow spike","Tikhonov discrepancy",0.0470560186339214,0.00966048683937893,NA,NA,NA,NA,NA
13,0.001,21461387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.0484242075935981,0.0192142927801541,NA,NA,NA,NA,NA
13,0.001,21461387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0560237405199052,0.0253728991080826,NA,NA,NA,NA,NA
13,0.001,21461387,"ring","Ring-shaped source","Tikhonov discrepancy",0.172994612824652,0.101206301149195,NA,NA,NA,NA,NA
13,0.001,21461387,"edge","Moving-edge source","Tikhonov discrepancy",0.274922508928906,0.161971722650704,NA,NA,NA,NA,NA
13,0.001,21461387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177863689833588,0.0879964269754724,NA,NA,NA,NA,NA
14,0.001,21561387,"spike","Hidden narrow spike","RBF",0.0439690519962671,0.0104647677822518,0.932778108268888,0.0898477892986657,0.134861317668055,0.012813331255745,-0.54837708138573
14,0.001,21561387,"spike","Hidden narrow spike","Matern 0.5",0.0454055548835079,0.0100163637930923,0.969660916121356,0.157185373610894,0.155470330160619,0.0152875289113882,-1.6395617800439
14,0.001,21561387,"spike","Hidden narrow spike","Matern 1.5",0.0442487250906428,0.0103422384476967,0.957168352171327,0.11957066709295,0.141040675193337,0.0138414097714471,-1.42732994829875
14,0.001,21561387,"spike","Hidden narrow spike","Matern 2.5",0.0440847638785037,0.0103818223954275,0.94883997620464,0.108410899529472,0.136794690660321,0.0134440021260087,-1.23144383807286
14,0.001,21561387,"mixture","Broad plus sharp source","RBF",0.0631834401354764,0.0229861968550456,0.891136228435455,0.102701999573997,0.0825710142772159,0.0207706078538721,2.91187886756271
14,0.001,21561387,"mixture","Broad plus sharp source","Matern 0.5",0.0482584245836311,0.0185264112861626,0.984533016061868,0.27994851762036,0.163919170136823,0.0232450352490419,-1.44074297697877
14,0.001,21561387,"mixture","Broad plus sharp source","Matern 1.5",0.0558493409679323,0.0190815404357207,0.940511600237954,0.151388030313788,0.122889277215943,0.0194915219440053,-0.793886882102698
14,0.001,21561387,"mixture","Broad plus sharp source","Matern 2.5",0.0588299879777827,0.0202069921480925,0.923854848304581,0.128088287249584,0.105117117787032,0.0196595895024608,0.120271836941241
14,0.001,21561387,"dipole","Positive-negative dipole","RBF",0.0347446321566333,0.0167350135716061,0.96192742415229,0.193788866279557,0.124086481261154,0.0188516291020691,-1.45856886456602
14,0.001,21561387,"dipole","Positive-negative dipole","Matern 0.5",0.0405403750314261,0.0163642652449272,0.990481856038073,0.475673298015917,0.177080978584176,0.0330849930660052,-1.13423271700964
14,0.001,21561387,"dipole","Positive-negative dipole","Matern 1.5",0.0329766586492461,0.0137888004252933,0.980963712076145,0.302222839717801,0.167888533610946,0.0227633416346468,-1.53745106979879
14,0.001,21561387,"dipole","Positive-negative dipole","Matern 2.5",0.0328768895644917,0.0142214636335604,0.979773944080904,0.25761336243154,0.155767772159429,0.0206851987935637,-1.62479691618378
14,0.001,21561387,"ring","Ring-shaped source","RBF",0.160572472243851,0.102154851585389,0.69244497323022,0.277969306734762,0.169959473527662,0.0885641927675676,2.4706876920157
14,0.001,21561387,"ring","Ring-shaped source","Matern 0.5",0.158561552210225,0.096370632168234,0.894110648423557,0.56369734311696,0.0632372843545509,0.0832897479149648,-0.359471876888137
14,0.001,21561387,"ring","Ring-shaped source","Matern 1.5",0.158063030763283,0.0983720365765851,0.774538964901844,0.380213679142505,0.115438355145747,0.0840196957655462,0.261702767198115
14,0.001,21561387,"ring","Ring-shaped source","Matern 2.5",0.158844581844954,0.0995427092107043,0.741820345032719,0.337817827576417,0.136928539559786,0.0853943678934406,0.779577764928446
14,0.001,21561387,"edge","Moving-edge source","RBF",0.192604778846665,0.128780473654146,0.70553242117787,0.269086665664493,0.225506766805473,0.106128999379993,4.63386386465695
14,0.001,21561387,"edge","Moving-edge source","Matern 0.5",0.171160855602061,0.102388180548221,0.895895300416419,0.578567975456057,0.0849505502676978,0.0856714990145218,-0.340852111484354
14,0.001,21561387,"edge","Moving-edge source","Matern 1.5",0.181097209821731,0.113644236515013,0.804878048780488,0.341281651878217,0.103109384295062,0.0924816983974804,0.953275534101193
14,0.001,21561387,"edge","Moving-edge source","Matern 2.5",0.185147068044658,0.118723961617217,0.777513384889946,0.302201903841448,0.147948765615705,0.0969919597628629,2.04015632296147
14,0.001,21561387,"sine","Sine-cosine source","RBF",0.0449968810552556,0.0318796970598102,0.271861986912552,0.0259547380468945,0.594929729327781,0.0290274857475169,30.8310689486054
14,0.001,21561387,"sine","Sine-cosine source","Matern 0.5",0.0571487953758481,0.0414684960531491,1,0.449170200549754,0.162060157644259,0.0362676835405987,-1.1618129824846
14,0.001,21561387,"sine","Sine-cosine source","Matern 1.5",0.0438966219173316,0.0336998488922602,0.801903628792386,0.107323391542379,0.163861912552052,0.0247741451776948,-0.989641739320475
14,0.001,21561387,"sine","Sine-cosine source","Matern 2.5",0.0430117256469318,0.032000699960364,0.465199286139203,0.0559888781893623,0.437657272456871,0.0264649298280398,5.96823953460969
14,0.001,21561387,"spike","Hidden narrow spike","Tikhonov discrepancy",0.0470748051104638,0.0096438804115807,NA,NA,NA,NA,NA
14,0.001,21561387,"mixture","Broad plus sharp source","Tikhonov discrepancy",0.048320543338301,0.0187826840608796,NA,NA,NA,NA,NA
14,0.001,21561387,"dipole","Positive-negative dipole","Tikhonov discrepancy",0.0561384579883289,0.0254444330025073,NA,NA,NA,NA,NA
14,0.001,21561387,"ring","Ring-shaped source","Tikhonov discrepancy",0.173094918688771,0.100895264533003,NA,NA,NA,NA,NA
14,0.001,21561387,"edge","Moving-edge source","Tikhonov discrepancy",0.277041222203575,0.164418480896862,NA,NA,NA,NA,NA
14,0.001,21561387,"sine","Sine-cosine source","Tikhonov discrepancy",0.177631558377341,0.0879576871537155,NA,NA,NA,NA,NA
15,0.001,21661387,"spike","Hidden narrow spike","RBF",0.0439864741652436,0.010446675202137,0.931588340273647,0.089011593493028,0.134415154669839,0.0127879129535786,-0.503232425415399
15,0.001,21661387,"spike","Hidden narrow spike","Matern 0.5",0.0454070058810561,0.010030594866495,0.969660916121356,0.156901301685014,0.155395969660916,0.0152749754967414,-1.63880982122358
15,0.001,21661387,"spike","Hidden narrow spike","Matern 1.5",0.0442541063455731,0.0103430999741718,0.956573468173706,0.119053976733034,0.140743233194527,0.0138207578160757,-1.42034240501304
15,0.001,21661387,"spike","Hidden narrow spike","Matern 2.5",0.0440914041114542,0.0103790008226132,0.94883997620464,0.107820088746971,0.136348527662106,0.013421857774138,-1.21849355763392
15,0.001,21661387,"mixture","Broad plus sharp source","RBF",0.0631160170139165,0.0233237851255381,0.883402736466389,0.103883171523366,0.087107004759072,0.0208825822530419,2.7646299304273
15,0.001,21661387,"mixture","Broad plus sharp source","Matern 0.5",0.0481790576192221,0.018248260121059,0.984533016061868,0.278254475934836,0.162729402141582,0.0232084241244014,-1.44389838262139
15,0.001,21661387,"mixture","Broad plus sharp source","Matern 1.5",0.0554374588451387,0.0191943658038236,0.941701368233195,0.152464236070343,0.118948170731707,0.0196018161583925,-0.832665029941301
15,0.001,21661387,"mixture","Broad plus sharp source","Matern 2.5",0.0585103959572212,0.0204049833338208,0.927424152290303,0.129224176095428,0.10303502379536,0.0197722705040718,0.0461974431518687
15,0.001,21661387,"dipole","Positive-negative dipole","RBF",0.0347425450004588,0.0167883967978438,0.96192742415229,0.193787552514356,0.1225249107674,0.0188578814801885,-1.46122497850267
